crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,n_nodes,n_edges,in_degree_max,out_degree_max,elapsed_sec,error
0.2,4,0.6,0.2,2,20071,,,,,,36.029422231949866,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.3,1,15971,,,,,,38.538667743094265,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.2,1,20070,,,,,,36.359861112199724,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.1,0,13030,,,,,,37.52247690083459,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.4,0,19228,,,,,,39.29569645272568,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.4,2,20062,,,,,,35.71680415794253,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.5,2,15179,,,,,,35.25160909676924,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.5,2,14347,,,,,,39.02433278411627,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.4,0,18637,,,,,,42.593032921198756,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.1,2,20111,,,,,,41.567888429854065,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.3,2,16804,,,,,,37.86815337091684,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.4,1,19229,,,,,,40.93529669102281,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.1,0,20109,,,,,,42.3818214549683,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.3,1,21249,,,,,,35.41752605699003,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.1,1,20110,,,,,,42.56132642785087,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.5,1,13491,,,,,,32.940703677013516,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.3,2,21250,,,,,,36.58237829245627,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.5,0,15177,,,,,,38.72750392276794,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.4,0,14506,,,,,,37.189293714705855,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.5,1,19624,,,,,,36.297466221265495,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.1,2,14303,,,,,,38.319292288739234,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.5,2,19625,,,,,,36.557778141926974,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.2,1,13030,,,,,,47.769367516972125,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.5,0,19623,,,,,,37.776624301914126,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.2,2,20958,,,,,,34.35308936983347,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.3,2,13245,,,,,,36.55960982711986,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.3,1,13244,,,,,,37.34711680887267,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.1,0,19471,,,,,,38.503403555136174,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.3,0,21248,,,,,,40.17358791688457,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.3,0,13243,,,,,,37.93123208684847,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.5,2,13492,,,,,,36.41113382996991,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.1,0,14301,,,,,,41.18791665509343,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.1,2,19473,,,,,,38.861712601967156,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.4,1,20061,,,,,,43.31119873421267,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.2,0,16510,,,,,,39.26503966609016,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.2,0,20956,,,,,,36.98234755406156,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.4,1,12820,,,,,,36.10135297384113,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.5,2,14763,,,,,,34.828200123272836,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.5,0,14345,,,,,,47.68295053206384,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.4,1,18374,,,,,,39.4243327267468,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.2,1,16511,,,,,,40.3263327581808,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.1,0,19126,,,,,,38.5339162084274,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.4,2,14508,,,,,,42.15487556811422,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.5,1,14762,,,,,,36.39029460307211,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.4,1,18638,,,,,,51.17224231502041,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.2,2,16512,,,,,,41.3434291719459,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.4,1,14507,,,,,,43.04715475207195,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.3,2,17691,,,,,,38.496058905962855,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.2,1,14516,,,,,,43.8888449636288,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.3,0,16802,,,,,,47.47738122427836,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.1,1,14302,,,,,,44.400559797883034,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.4,2,18375,,,,,,41.13199309213087,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.1,2,19128,,,,,,39.85093752807006,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.4,0,12819,,,,,,39.08323908876628,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.3,0,17689,,,,,,40.2297838460654,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.1,1,19472,,,,,,43.70899485377595,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.2,0,15035,,,,,,38.13364900788292,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.2,1,20957,,,,,,41.74867207277566,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.4,0,18373,,,,,,44.10246045794338,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.3,1,20153,,,,,,37.57792478101328,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.1,1,17077,,,,,,33.41003230912611,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.5,0,14761,,,,,,41.16650199284777,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.4,1,13411,,,,,,36.668777836021036,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.4,0,20060,,,,,,50.850063337013125,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.2,2,13031,,,,,,58.53801049012691,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.1,1,13206,,,,,,41.65023689297959,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.9,0.4,2,12821,,,,,,44.06721368525177,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.2,1,15036,,,,,,41.8792676939629,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.4,0,13410,,,,,,40.32991119613871,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.3,2,20154,,,,,,42.155941114760935,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.3,0,21891,,,,,,61.03912227321416,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.1,0,17076,,,,,,39.166361258830875,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.5,0,20143,,,,,,41.28103293199092,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.3,2,14025,,,,,,35.491383905056864,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.4,2,20363,,,,,,34.93348375800997,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.3,1,14024,,,,,,38.16714299703017,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.2,1,15162,,,,,,40.13096183910966,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.5,1,20144,,,,,,44.34914212208241,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.1,1,13031,,,,,,61.884706776589155,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.8,0.5,0,13490,,,,,,54.805733827874064,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.3,0,20152,,,,,,48.79741398617625,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.2,2,14517,,,,,,58.96563412994146,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.7,0.2,0,14515,,,,,,59.64480704115704,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.5,0,15886,,,,,,40.24532614974305,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.5,2,15888,,,,,,41.04285367811099,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.6,0.2,0,15161,,,,,,47.87471186509356,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.4,0,14807,,,,,,34.97662358917296,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.4,2,13412,,,,,,50.78371623484418,"float() argument must be a string or a real number, not 'list'"
0.2,4,1.0,0.2,2,15037,,,,,,54.24598423298448,"float() argument must be a string or a real number, not 'list'"
0.2,5,0.7,0.4,2,14809,,,,,,34.94946614606306,"float() argument must be a string or a real number, not 'list'"
