file_id,learned_colliders,correct_scs,missing_scs,extra_scs,correct_pws,missing_pws,extra_pws,jaccard_edges,i,total_vars,dag_family,p_syn,p_noise,samples
151,0.8666666666666667,0.9,0.8,0.8,1.0,1.0,1.0,0.9166666666666666,151,10,er,1.0,0.0,1000
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,152,10,er,1.0,0.0,2000
153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,153,10,er,1.0,0.0,5000
154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,154,10,er,1.0,0.0,10000
155,0.8666666666666667,0.9,0.8,0.8,1.0,1.0,1.0,0.9,155,10,er,1.0,0.1,500
156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156,10,er,1.0,0.1,1000
157,0.8666666666666667,0.9,0.8,0.8,1.0,1.0,1.0,0.9,157,10,er,1.0,0.1,2000
158,0.8148148148148148,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.8765432098765432,158,10,er,1.0,0.1,5000
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159,10,er,1.0,0.1,10000
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160,10,er,1.0,0.2,500
161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,161,10,er,1.0,0.2,1000
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,162,10,er,1.0,0.2,2000
163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,163,10,er,1.0,0.2,5000
164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,164,10,er,1.0,0.2,10000
165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,165,10,er,1.0,0.3,500
166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,166,10,er,1.0,0.3,1000
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167,10,er,1.0,0.3,2000
168,0.8666666666666668,0.9,0.8,0.8,1.0,1.0,1.0,0.9,168,10,er,1.0,0.3,5000
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169,10,er,1.0,0.3,10000
170,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170,10,er,1.0,0.4,500
171,0.8666666666666667,0.9,0.8,0.8,1.0,1.0,1.0,0.9,171,10,er,1.0,0.4,1000
172,0.8666666666666667,0.9,0.8,0.8,1.0,1.0,1.0,0.9199999999999999,172,10,er,1.0,0.4,2000
173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173,10,er,1.0,0.4,5000
174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,174,10,er,1.0,0.4,10000
175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175,10,er,1.0,0.5,500
176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176,10,er,1.0,0.5,1000
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177,10,er,1.0,0.5,2000
178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178,10,er,1.0,0.5,5000
179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179,10,er,1.0,0.5,10000
180,0.2946560846560846,1.0,1.0,0.24444444444444444,0.5259259259259259,0.3333333333333333,0.14074074074074072,0.4499185484721932,180,10,small-world,0.0,0.0,500
181,0.6874074074074075,1.0,1.0,0.4666666666666667,0.8037037037037037,0.4,0.8,0.634598685265352,181,10,small-world,0.0,0.0,1000
182,0.5723280423280422,1.0,1.0,0.5333333333333333,0.7703703703703704,0.4222222222222222,0.23333333333333334,0.6819113551853491,182,10,small-world,0.0,0.0,2000
183,0.2963932980599647,1.0,1.0,0.3333333333333333,0.7555555555555555,0.7111111111111111,0.015555555555555555,0.3827463349662496,183,10,small-world,0.0,0.0,5000
184,0.536904761904762,1.0,1.0,0.5333333333333333,0.7722222222222223,0.4222222222222222,0.26666666666666666,0.6159802708183678,184,10,small-world,0.0,0.0,10000
185,0.5858201058201057,1.0,1.0,0.4888888888888889,0.7611111111111111,0.37777777777777777,0.4666666666666667,0.7100063899015755,185,10,small-world,0.0,0.1,500
186,0.5548148148148149,1.0,1.0,0.4666666666666667,0.7481481481481481,0.39259259259259255,0.3333333333333333,0.6500830975965136,186,10,small-world,0.0,0.1,1000
187,0.8188888888888888,1.0,1.0,0.6444444444444445,0.8833333333333333,0.5333333333333333,1.0,0.7230885397637317,187,10,small-world,0.0,0.1,2000
188,0.8733333333333333,1.0,1.0,1.0,0.9111111111111111,0.6444444444444445,0.8,0.7999615561572082,188,10,small-world,0.0,0.1,5000
189,0.911111111111111,1.0,1.0,0.8,0.95,0.8,1.0,0.7684802230070773,189,10,small-world,0.0,0.1,10000
190,0.8833333333333333,1.0,1.0,1.0,0.8833333333333333,0.5333333333333333,1.0,0.8703703703703705,190,10,small-world,0.0,0.2,500
191,0.95,1.0,1.0,1.0,0.95,0.8,1.0,0.8450848352809138,191,10,small-world,0.0,0.2,1000
192,0.8933333333333332,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,0.8933333333333332,192,10,small-world,0.0,0.2,2000
193,0.8844444444444444,1.0,1.0,0.8,1.0,1.0,0.6222222222222222,0.895185185185185,193,10,small-world,0.0,0.2,5000
194,0.7777777777777778,1.0,1.0,0.5333333333333333,0.8611111111111112,0.4888888888888889,1.0,0.7618886431765688,194,10,small-world,0.0,0.2,10000
195,0.95,1.0,1.0,1.0,0.95,0.8,1.0,0.9368421052631578,195,10,small-world,0.0,0.3,500
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,196,10,small-world,0.0,0.3,1000
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,197,10,small-world,0.0,0.3,2000
198,0.9200000000000002,1.0,1.0,0.8,0.95,0.8,1.0,0.9600000000000001,198,10,small-world,0.0,0.3,5000
199,0.8733333333333333,1.0,1.0,1.0,0.9111111111111111,0.6444444444444445,0.8,0.8355972422639089,199,10,small-world,0.0,0.3,10000
200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,10,small-world,0.0,0.4,500
201,0.6148148148148148,1.0,1.0,1.0,0.6148148148148148,0.5740740740740741,1.0,0.814196752775184,201,10,small-world,0.0,0.4,1000
202,0.7666666666666667,1.0,1.0,1.0,0.7666666666666667,0.35555555555555557,1.0,0.794074074074074,202,10,small-world,0.0,0.4,2000
203,0.7155555555555555,1.0,1.0,1.0,0.7388888888888889,0.2777777777777778,0.8,0.7259538730315416,203,10,small-world,0.0,0.4,5000
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,204,10,small-world,0.0,0.4,10000
205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205,10,small-world,0.0,0.5,500
206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,206,10,small-world,0.0,0.5,1000
207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,207,10,small-world,0.0,0.5,2000
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,208,10,small-world,0.0,0.5,5000
209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,209,10,small-world,0.0,0.5,10000
210,0.5311640211640212,1.0,1.0,0.8,0.3111111111111111,0.4888888888888889,0.3333333333333333,0.5199419034237502,210,10,small-world,0.5,0.0,500
211,0.49206349206349215,1.0,1.0,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4592337941553307,211,10,small-world,0.5,0.0,1000
212,0.5544973544973544,1.0,1.0,0.8,0.28888888888888886,0.34444444444444444,0.3333333333333333,0.5691199308866317,212,10,small-world,0.5,0.0,2000
213,0.5197354497354497,1.0,1.0,0.6222222222222222,0.3333333333333333,0.3888888888888889,0.2222222222222222,0.45082483306771637,213,10,small-world,0.5,0.0,5000
214,0.49878306878306866,1.0,1.0,0.8,0.3,0.37777777777777777,0.3333333333333333,0.509321885956516,214,10,small-world,0.5,0.0,10000
215,0.5903703703703704,1.0,1.0,1.0,0.28888888888888886,0.37777777777777777,0.4666666666666667,0.6916200834739893,215,10,small-world,0.5,0.1,500
216,0.7259259259259259,1.0,1.0,1.0,0.4777777777777778,0.37777777777777777,0.8,0.6710932572834954,216,10,small-world,0.5,0.1,1000
217,0.5556613756613757,1.0,1.0,1.0,0.32222222222222224,0.4888888888888889,0.23333333333333334,0.5704574428533388,217,10,small-world,0.5,0.1,2000
218,0.5701587301587301,1.0,1.0,1.0,0.4222222222222222,0.28888888888888886,0.2222222222222222,0.6085852632426538,218,10,small-world,0.5,0.1,5000
