crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.3,1,0.8,0.5,1,18350,-78894.28545456422,39.87735889991745,
0.3,1,0.7,0.5,0,13179,-78504.80193310168,41.7644526110962,
0.3,1,0.9,0.1,0,18681,-77442.8905268262,40.784825765993446,
0.3,1,0.9,0.2,0,18895,-75354.90358537459,40.2318872208707,
0.3,1,0.9,0.4,0,20758,-82250.9783321323,36.35148194571957,
0.3,1,0.8,0.1,0,17410,-77526.00789969628,43.8605483090505,
0.3,1,0.8,0.4,0,14440,-76983.11250506977,43.64378384780139,
0.2,5,0.8,0.3,0,17132,-77302.54719615092,51.29353880416602,
0.3,1,0.9,0.4,1,20759,-77406.61356155337,39.925673617981374,
0.3,1,0.9,0.5,1,19621,-80340.79997172415,40.88183702621609,
0.3,1,0.9,0.3,0,15628,-80634.96490341703,48.871034221723676,
0.3,2,0.8,0.3,0,20160,-81742.10749846752,32.83191497577354,
0.3,2,0.8,0.3,1,20161,-79565.47445187521,32.61747593106702,
0.3,3,0.6,0.5,0,15414,-85246.54913817973,29.604419232346117,
0.3,2,0.8,0.2,0,13427,-79476.8217451687,36.04356627119705,
0.3,2,0.8,0.1,1,16389,-74950.94517509422,38.95845837704837,
0.3,3,0.7,0.2,0,13349,-79330.97924715457,32.8478428311646,
0.3,3,0.6,0.3,1,15424,-81037.37785893958,33.618909370619804,
0.3,2,1.0,0.2,0,18585,-77049.37630147648,35.44416324375197,
0.3,2,0.9,0.2,0,17873,-74642.42870570713,36.96533207176253,
0.3,2,0.9,0.1,0,16043,-77218.15123824342,37.25561968004331,
0.3,3,0.6,0.2,0,14689,-84648.96454822566,34.53679767623544,
0.3,3,0.7,0.1,1,16351,-78837.92933442608,33.94091604836285,
0.3,3,0.8,0.3,1,12591,-79786.76940832232,32.89139724383131,
0.3,2,0.9,0.3,1,19816,-82206.87933585832,37.049211231060326,
0.3,2,0.8,0.5,0,18535,-78580.04312073016,38.043043709825724,
0.3,2,0.8,0.4,0,15290,-77328.04617817103,38.258636072743684,
0.3,3,0.7,0.5,1,12459,-81083.6999806309,33.57519381213933,
0.3,2,0.9,0.5,0,21678,-78479.71068029573,37.20388580998406,
0.3,3,0.6,0.5,1,15415,-82854.90048984991,34.70019264193252,
0.3,1,1.0,0.1,1,12569,-75436.80761733917,56.49991279002279,
0.3,3,0.6,0.4,1,14681,-78705.42655558659,35.37221295200288,
0.3,2,0.9,0.3,0,19815,-78535.96918161177,38.46029030485079,
0.3,2,0.9,0.5,1,21679,-79817.74848246019,38.09320146171376,
0.3,3,0.8,0.4,0,13719,-82680.38365127226,34.28842439968139,
0.3,2,1.0,0.5,1,15566,-80934.38967023704,36.981486880686134,
0.3,2,1.0,0.1,1,19931,-80089.74732129829,38.23894724203274,
0.3,3,0.7,0.5,0,12458,-81351.79594963258,35.69706552615389,
0.3,2,0.9,0.2,1,17874,-78795.17360882332,39.38468331284821,
0.3,3,0.7,0.4,0,21724,-79493.27255035755,35.891240779776126,
0.3,2,0.8,0.5,1,18536,-82750.92165571448,39.96210591495037,
0.3,3,0.9,0.3,1,20525,-80136.91764708195,33.94458812009543,
0.3,3,0.6,0.4,0,14680,-77201.56095382359,36.54205775819719,
0.3,2,1.0,0.5,0,15565,-80621.05397654435,37.6429461222142,
0.3,3,0.7,0.3,0,22211,-83770.66709294621,36.29059781972319,
0.3,3,0.8,0.3,0,12590,-80819.22975912695,35.44454599125311,
0.3,3,0.8,0.5,1,14454,-81162.31666868409,35.14344825036824,
0.3,2,0.9,0.1,1,16044,-76023.89734897867,40.26300784898922,
0.3,3,0.7,0.3,1,22212,-80813.57794678345,36.642420952674,
0.3,4,0.6,0.3,0,15962,-79500.96184285777,32.69899937603623,
0.3,4,0.6,0.3,1,15963,-79048.61864071013,32.625854056328535,
0.3,3,0.6,0.1,0,14353,-82389.33202136977,38.07957828231156,
0.3,2,0.9,0.4,0,16561,-78850.74975010236,39.87860508495942,
0.3,2,1.0,0.3,1,13703,-77941.56318108246,38.60021627508104,
0.3,2,1.0,0.4,1,18833,-81322.66867751443,38.47033645724878,
0.3,2,1.0,0.4,0,18832,-79776.77785202049,38.67748460592702,
0.3,3,0.6,0.3,0,15423,-78885.50429949297,37.87452625622973,
0.3,4,0.6,0.5,1,18083,-81495.46178163373,30.730912080965936,
0.3,3,0.7,0.2,1,13350,-79323.45489941357,37.309356685727835,
0.3,3,0.8,0.1,1,13393,-74925.74737031016,36.58825039397925,
0.3,3,0.7,0.4,1,21725,-80069.49788798178,37.52485535899177,
0.3,3,1.0,0.1,1,18551,-79938.433342245,35.32244839100167,
0.3,3,0.6,0.2,1,14690,-79146.03566887577,39.011650242842734,
0.3,3,0.9,0.5,1,18900,-83740.86154773098,35.49262330168858,
0.3,3,0.8,0.2,0,15344,-81662.02232176682,37.57168921409175,
0.3,3,0.8,0.2,1,15345,-74050.73174829772,37.67162166303024,
0.3,3,0.9,0.4,0,18165,-77363.1094240963,36.33848033985123,
0.3,4,0.6,0.1,0,20318,-75236.22325569531,35.415061144158244,
0.3,3,1.0,0.4,1,18878,-79627.30564298958,35.719555786810815,
0.3,3,0.9,0.5,0,18899,-83781.09651028241,36.45128939859569,
0.3,2,0.6,0.3,1,19506,-77528.28038390203,51.90921745542437,
0.3,3,0.9,0.2,1,19791,-78205.30864679208,37.145371093880385,
0.3,3,0.7,0.1,0,16350,-77567.27302609746,39.32695523975417,
0.3,3,0.8,0.4,1,13720,-83445.8266537121,38.113368943333626,
0.3,1,1.0,0.5,1,13508,-77138.2125741424,54.66505381371826,
0.3,1,0.9,0.5,0,19620,-83447.92074515042,63.920641960110515,
0.3,4,0.6,0.2,1,19230,-79538.9863388585,35.49287559418008,
0.3,3,0.9,0.1,0,14663,-76488.39930881218,37.977726256940514,
0.3,4,0.6,0.5,0,18082,-83706.8068932632,34.914437192026526,
0.3,1,1.0,0.2,0,12782,-80092.45590320614,59.44810399785638,
0.3,3,1.0,0.5,0,19611,-82327.54724192254,36.56545692961663,
0.3,4,0.6,0.1,1,20319,-75420.88110093669,36.096027528867126,
0.3,1,1.0,0.2,1,12783,-75712.69357355275,59.017387714702636,
0.3,3,0.9,0.4,1,18166,-81698.94180053272,37.52167963795364,
0.3,3,0.8,0.1,0,13392,-78768.01712054432,39.33364967210218,
0.3,3,0.6,0.1,1,14354,-74054.70959820788,41.32165549881756,
0.3,3,1.0,0.4,0,18877,-79190.00303992695,37.038651095703244,
0.3,3,0.9,0.2,0,19790,-78464.62886344624,38.22053973795846,
0.3,2,0.7,0.3,1,18166,-79756.2749855616,49.49485632032156,
0.3,4,0.6,0.4,1,16519,-82965.50995974324,35.87550747487694,
0.3,3,1.0,0.3,0,19620,-81255.3579919781,37.9978969511576,
0.3,4,0.6,0.2,0,19229,-75167.01046728957,37.34894874691963,
0.3,3,1.0,0.2,0,18886,-79406.09170914211,38.40262296516448,
0.3,3,1.0,0.5,1,19612,-83980.74208134729,37.83769365679473,
0.3,2,1.0,0.2,1,18586,-77631.206201981,43.32704450096935,
0.3,3,0.9,0.1,1,14664,-78766.36924589821,39.92300930293277,
0.3,3,1.0,0.3,1,19621,-80650.96152406764,38.71694510616362,
0.3,4,0.7,0.3,0,21134,-83509.7104854415,34.196027459111065,
0.3,3,0.8,0.5,0,14453,-78580.71407532855,40.982953782659024,
0.3,4,0.7,0.3,1,21135,-83531.32794330748,34.07839239016175,
0.3,1,0.9,0.3,1,15629,-78326.43349764751,71.56752902921289,
0.3,2,0.7,0.5,0,16540,-84069.07795426852,52.141110866796225,
0.3,4,0.6,0.4,0,16518,-82412.14237565834,39.652796647977084,
0.3,3,1.0,0.2,1,18887,-79309.86809417665,41.515396162867546,
0.3,4,0.7,0.2,1,16018,-79927.73946884867,36.87249283771962,
0.3,4,0.7,0.2,0,16017,-77932.57485241108,37.27067769598216,
0.3,2,0.7,0.4,0,21423,-83676.51527207898,53.19571515964344,
0.3,4,0.7,0.5,1,15127,-84693.1597323509,33.42919730069116,
0.3,2,0.6,0.1,0,15733,-79935.50977770664,59.150637990795076,
0.3,4,0.7,0.1,0,14187,-79041.05360163462,39.24000620795414,
0.3,3,1.0,0.1,0,18550,-73243.00144585734,43.73669474897906,
0.3,4,0.7,0.1,1,14188,-77954.20759587928,39.68538719089702,
0.3,1,1.0,0.4,0,21470,-80601.61452781541,63.79763169772923,
0.3,1,1.0,0.3,0,16340,-78080.83282383486,65.66935444390401,
0.3,2,0.6,0.1,1,15734,-82858.3642713973,60.750496175605804,
0.3,2,0.6,0.2,0,14388,-81180.04868073674,60.528224639128894,
0.3,4,0.7,0.4,0,13306,-82267.5822645734,38.39605700131506,
0.3,1,1.0,0.5,0,13507,-80118.28808995339,62.662404594011605,
0.3,2,0.8,0.1,0,16388,-77284.51054024944,54.698469466064125,
0.3,4,0.7,0.5,0,15126,-80337.61267527056,37.57819311786443,
0.3,2,0.7,0.1,1,21219,-78465.89739535432,59.16739210812375,
0.3,1,1.0,0.3,1,16341,-77786.95806275978,67.09570987196639,
0.3,2,0.6,0.4,1,16252,-82427.8395778336,61.39571142802015,
0.3,2,0.6,0.5,0,21368,-87214.56148700151,60.817946454975754,
0.3,2,0.6,0.3,0,19505,-79320.47819066126,63.0121114612557,
0.3,2,0.7,0.2,0,21432,-80881.0519562643,62.02594583807513,
0.3,2,0.7,0.3,0,18165,-84090.04838684108,61.85213604429737,
0.3,1,1.0,0.4,1,21471,-78571.95508687216,69.96460184268653,
0.3,2,0.7,0.1,0,21218,-76746.74562787764,64.2522750981152,
0.3,1,1.0,0.1,0,12568,-75586.65262848018,76.92697831429541,
0.3,2,0.6,0.5,1,21369,-85512.33049583592,64.96489938814193,
0.3,2,0.7,0.4,1,21424,-81755.35829538727,62.02841192902997,
0.3,2,0.7,0.5,1,16541,-83149.6421044021,62.17062816116959,
0.3,4,0.8,0.1,0,19357,-74918.42673220724,40.05783222941682,
0.3,4,0.7,0.4,1,13307,-80770.10230766289,44.194149896968156,
0.3,2,0.7,0.2,1,21433,-78616.81258225747,64.09788150293753,
0.3,2,0.6,0.4,0,16251,-80953.31900286171,66.66656426200643,
0.3,2,0.6,0.2,1,14389,-78711.05601672409,67.74013085430488,
0.3,4,0.8,0.1,1,19358,-80227.56278682583,40.35225623799488,
0.3,2,0.8,0.4,1,15291,-83136.98426603248,61.36798394098878,
0.3,2,0.8,0.2,1,13428,-75395.22644625271,65.44728734204546,
0.3,4,0.8,0.2,1,18013,-81549.65622229027,43.330419392324984,
0.3,4,0.8,0.2,0,18012,-74961.3888143569,43.814705063123256,
0.3,2,1.0,0.3,0,13702,-80912.65982719116,63.25803735712543,
0.3,4,0.8,0.3,0,13129,-82222.10077807863,34.03233643202111,
0.3,2,0.9,0.4,1,16562,-79369.1273373909,66.99947823397815,
0.3,4,0.8,0.5,1,17122,-82286.22293217541,32.31340662110597,
0.3,5,0.7,0.3,0,18807,-81122.3270382349,30.156286179088056,
0.3,4,0.8,0.3,1,13130,-82365.5886776299,38.761121379677206,
0.3,5,0.6,0.2,0,16076,-81095.60267748141,31.608278810977936,
0.3,4,0.9,0.1,0,20628,-78923.14464166075,34.66061832383275,
