crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.3,2,1.0,0.4,1,18833,-61118.69477401284,41.310900734737515,
0.3,3,0.7,0.1,0,16350,-64925.65980058835,40.164155007805675,
0.3,2,0.9,0.1,0,16043,-67643.9914489169,43.52152321767062,
0.3,3,0.6,0.3,1,15424,-66879.59561501497,40.54394348524511,
0.3,3,0.8,0.4,1,13720,-68090.54831117892,39.08172820415348,
0.3,3,0.7,0.3,1,22212,-66592.8591518871,39.68627989431843,
0.3,2,0.9,0.5,0,21678,-65854.8984837248,42.43106921762228,
0.3,3,0.7,0.5,0,12458,-67281.31134968277,39.80400764895603,
0.3,2,1.0,0.3,1,13703,-63897.08775449703,41.75293594924733,
0.3,2,0.7,0.2,1,21433,-66519.51231039276,59.604778338223696,
0.3,2,1.0,0.1,0,19930,-63395.86930158799,42.125781564973295,
0.3,2,0.9,0.1,1,16044,-65641.27470730341,43.88461229810491,
0.3,3,0.6,0.2,0,14689,-67480.08573503848,41.551409903913736,
0.3,3,0.6,0.1,1,14354,-66467.86765070981,41.61542134499177,
0.3,3,0.8,0.1,0,13392,-61085.48576133678,39.988015971146524,
0.3,3,0.9,0.2,1,19791,-64719.26405126517,38.99496964458376,
0.3,1,1.0,0.5,1,13508,-65174.574149464206,69.81627800688148,
0.3,2,1.0,0.2,0,18585,-63566.006582890805,42.2908447436057,
0.3,4,0.6,0.3,0,15962,-69533.4615934016,36.71233884803951,
0.3,3,0.7,0.2,0,13349,-69337.75666466496,40.76923946198076,
0.3,3,1.0,0.5,0,19611,-67496.50604231046,37.68085866700858,
0.3,3,0.8,0.5,1,14454,-64836.428792554405,40.12515629269183,
0.3,2,0.9,0.4,0,16561,-63245.20310693069,44.093993469607085,
0.3,3,0.7,0.4,0,21724,-65486.58044893923,40.79672101698816,
0.3,3,0.9,0.4,0,18165,-68507.87049034935,39.350184062030166,
0.3,3,0.8,0.2,0,15344,-67435.03208683062,40.88902137801051,
0.3,2,1.0,0.5,0,15565,-64012.760694188924,42.91955551225692,
0.3,3,0.9,0.4,1,18166,-69398.40068841686,39.56610225280747,
0.3,3,0.7,0.5,1,12459,-67138.13065635136,41.34699674230069,
0.3,3,1.0,0.5,1,19612,-66316.80926373163,38.58501103473827,
0.3,3,1.0,0.2,0,18886,-62979.562895381045,39.473943029064685,
0.3,3,0.9,0.2,0,19790,-66001.329306002,40.528009293135256,
0.3,2,1.0,0.5,1,15566,-64593.716656610064,43.443353227339685,
0.3,3,0.8,0.3,1,12591,-65761.71347287236,41.331009780056775,
0.3,3,0.8,0.5,0,14453,-66369.46862034526,41.40673133498058,
0.3,3,0.8,0.1,1,13393,-62288.87962353491,41.80051720701158,
0.3,3,1.0,0.4,1,18878,-67290.00000945861,39.403237672988325,
0.3,4,0.6,0.3,1,15963,-70904.5371520265,38.329231227282435,
0.3,3,0.9,0.3,0,20524,-65145.84162301428,41.01102320011705,
0.3,1,1.0,0.4,0,21470,-65307.11505690392,74.3679791088216,
0.3,3,0.7,0.1,1,16351,-63482.29721567956,43.05416291486472,
0.3,2,0.7,0.4,0,21423,-66595.22533140918,56.10559234721586,
0.3,3,0.8,0.2,1,15345,-64080.52999822641,42.30101285409182,
0.3,3,1.0,0.1,1,18551,-64312.47737213555,40.7056076717563,
0.3,3,0.9,0.3,1,20525,-63674.175334127896,41.211188956163824,
0.3,3,1.0,0.1,0,18550,-61794.90098765055,40.92951902002096,
0.3,4,0.6,0.2,0,19229,-65080.82609916043,39.79023696342483,
0.3,3,0.9,0.1,0,14663,-62001.208701815805,42.45617422880605,
0.3,4,0.6,0.4,0,16518,-67588.37802139741,38.9850930981338,
0.3,4,0.6,0.2,1,19230,-63791.360975776755,39.711101897992194,
0.3,3,0.9,0.5,0,18899,-68747.27535565163,41.854505388997495,
0.3,2,0.7,0.2,0,21432,-63581.850875898315,64.59330214885995,
0.3,4,0.6,0.5,1,18083,-68419.54480307346,38.263980091083795,
0.3,4,0.6,0.4,1,16519,-67664.27868211275,39.65624250797555,
0.3,3,1.0,0.3,0,19620,-66189.20730990784,41.826512234751135,
0.3,2,0.7,0.4,1,21424,-67818.63183273497,56.27004321292043,
0.3,4,0.6,0.5,0,18082,-66557.04526927623,39.29710816312581,
0.3,3,0.9,0.1,1,14664,-64115.55161505172,43.68808644404635,
0.3,3,0.6,0.4,1,14681,-70224.38568981121,45.609358086716384,
0.3,3,1.0,0.4,0,18877,-63317.16833781228,42.67539027612656,
0.3,3,1.0,0.2,1,18887,-64251.17833710951,43.26878749812022,
0.3,3,0.9,0.5,1,18900,-67318.00464994162,44.08576378272846,
0.3,4,0.7,0.1,1,14188,-65850.50321431225,39.18874643277377,
0.3,4,0.7,0.1,0,14187,-65860.60385917395,41.31942068692297,
0.3,4,0.7,0.2,0,16017,-64685.78417435152,40.52289204578847,
0.3,2,0.7,0.3,0,18165,-66070.63432061064,65.84123775595799,
0.3,2,0.7,0.3,1,18166,-65234.99095431819,65.15535668795928,
0.3,4,0.7,0.2,1,16018,-65073.240126174336,41.911686355713755,
0.3,2,0.8,0.1,0,16388,-62785.76719714574,56.52389434212819,
0.3,4,0.7,0.3,0,21134,-64382.10578412673,42.10327409906313,
0.3,4,0.7,0.4,0,13306,-67123.39816736476,40.68316919822246,
0.3,3,1.0,0.3,1,19621,-63172.19978204092,49.60050561092794,
0.3,4,0.7,0.5,0,15126,-66747.03628036765,38.67168319225311,
0.3,4,0.8,0.1,0,19357,-67983.20846425382,44.25662422599271,
0.3,4,0.7,0.5,1,15127,-67768.35026970663,51.78729858621955,
0.3,4,0.9,0.3,1,14401,-64653.85632037026,39.04622261598706,
0.3,4,0.7,0.3,1,21135,-67838.78357980476,60.91999339079484,
0.3,4,0.9,0.4,1,18132,-66748.25818155857,39.312962719239295,
0.3,5,0.6,0.5,0,15185,-71718.3009639825,34.88523267162964,
0.3,4,0.6,0.1,0,20318,-67395.68631016903,70.27398998476565,
0.3,5,0.7,0.3,1,18808,-69326.6473679742,35.094917732756585,
0.3,4,1.0,0.1,0,14515,-66475.1346251644,39.827818741090596,
0.3,4,1.0,0.4,0,20715,-61845.81166464404,38.85306652775034,
0.3,4,0.9,0.5,1,21568,-67192.34849637233,40.27727098716423,
0.3,5,0.6,0.3,0,16810,-65249.34989224441,37.1126798838377,
0.3,4,1.0,0.2,1,13427,-63824.0892427345,39.17325191106647,
0.3,4,0.8,0.2,0,18012,-65321.15676912964,53.53565690293908,
0.3,4,1.0,0.1,1,14516,-65684.77143647218,39.833482914138585,
0.3,5,0.6,0.2,0,16076,-66476.46417742824,38.28387793619186,
