crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.3,1,1.0,0.3,-121409.27769422716,426.7771454164344,2
0.2,4,0.9,0.2,-121412.63013136805,2330.5045639965538,2
0.5,5,0.8,0.1,-121443.42951238331,990.5042652072449,2
0.6,4,1.0,0.3,-121449.63470590304,1773.1549679019176,2
0.4,1,1.0,0.4,-121457.8495960989,3005.180215893663,2
0.3,3,0.9,0.5,-121461.13898530671,1906.751884232849,2
0.4,3,0.7,0.1,-121468.56855395011,873.598944024067,2
0.4,2,1.0,0.3,-121472.29078762006,506.80960157797887,2
0.5,1,0.9,0.1,-121482.13628700668,1097.8191433345723,2
0.2,3,0.6,0.4,-121482.41682067358,1860.249942416536,2
0.4,5,0.7,0.2,-121506.11114296381,2297.6707247643426,2
0.3,4,0.8,0.3,-121512.33804318053,967.2593662432598,2
0.5,1,0.7,0.1,-121540.86725625943,2276.245026269866,2
0.2,5,0.7,0.5,-121542.4547553548,1076.281646226874,2
0.3,4,0.9,0.4,-121548.29110201728,1256.2700632514848,2
0.4,2,1.0,0.2,-121559.37069996913,552.7693800584002,2
0.3,4,0.8,0.2,-121559.95626161451,900.878221347798,2
0.5,2,0.8,0.1,-121570.59095331178,728.1005207807632,2
0.5,2,1.0,0.5,-121573.06350926534,3208.2719871453073,2
0.6,3,1.0,0.3,-121613.52750865842,3245.0393831750844,2
0.3,1,0.6,0.2,-121626.98028808151,1935.4563382707383,2
0.3,1,0.7,0.2,-121639.02419421767,2131.3659538394822,2
0.3,3,1.0,0.5,-121650.90422562974,4241.994092548337,2
0.4,2,0.8,0.2,-121653.7838840429,3048.2309325969477,2
0.5,1,0.7,0.3,-121660.7995507681,2172.7959938742115,2
0.4,5,1.0,0.4,-121672.05649140221,1081.7872254351537,2
0.3,1,0.9,0.3,-121675.40168569432,219.55062043657227,2
0.6,1,1.0,0.1,-121675.7502794773,1466.2773504601598,2
0.6,1,0.8,0.2,-121678.94956400245,3145.8972370292304,2
0.6,1,0.7,0.3,-121700.14671951998,4.073646823394519,2
0.2,1,0.6,0.3,-121729.38417605308,1465.8890899673406,2
0.5,4,0.7,0.1,-121733.6269905493,828.8828517256765,2
0.6,5,0.9,0.1,-121735.53090919805,936.5148765804477,2
0.3,3,0.8,0.2,-121735.60030807868,1855.8789485618124,2
0.6,3,0.7,0.4,-121771.18119157202,135.37168050924393,2
0.6,1,0.7,0.1,-121790.62205955038,2113.5591829333935,2
0.4,3,0.9,0.4,-121791.49688697331,3863.0439600613404,2
0.4,2,1.0,0.1,-121850.3086980654,3506.584194380478,2
0.3,3,0.8,0.1,-121867.6472107442,850.4283095162045,2
0.3,1,0.9,0.2,-121868.2942525704,1096.2701435164008,2
0.5,4,0.9,0.1,-121876.55467900619,3544.804102142026,2
0.2,4,0.7,0.1,-121882.67086768533,900.7757970230657,2
0.4,1,0.6,0.2,-121898.09826830628,1707.422784055874,2
0.3,3,0.7,0.1,-121916.29361667103,1090.6147643314653,2
0.2,1,0.6,0.4,-121919.87610294487,1152.9153369299547,2
0.5,5,0.7,0.1,-121934.47759297815,1565.515371146875,2
0.6,5,0.9,0.2,-121938.2062928507,2916.8938871937235,2
0.4,4,0.6,0.3,-121947.03417941279,1290.6202721116777,2
0.2,5,0.9,0.3,-121978.7953548737,1349.0521092856404,2
0.6,5,0.8,0.2,-121982.82372123442,2693.5576142761156,2
0.5,5,0.9,0.5,-121985.71566761407,3168.278053586304,2
0.4,2,0.9,0.3,-121988.8812934586,3596.954439647341,2
0.4,2,0.7,0.1,-121993.4537601704,1831.0396348171785,2
0.4,5,0.9,0.4,-121999.06735691635,847.0536793987521,2
0.2,3,1.0,0.4,-122022.52461423572,748.4755793498969,2
0.2,3,0.6,0.1,-122036.85238492623,841.6989088581149,2
0.4,5,0.8,0.2,-122039.07374881042,500.9625229870511,2
0.2,1,1.0,0.3,-122046.78307696231,2089.822499766589,2
0.3,1,0.7,0.3,-122048.80991334422,2117.1868839398717,2
0.6,1,0.7,0.2,-122056.64035134215,614.4333475499038,2
0.4,1,0.9,0.1,-122062.28141809779,4005.8672592337575,2
0.3,5,0.9,0.3,-122067.0732422434,2840.796171144576,2
0.2,1,0.7,0.5,-122088.28932597814,184.36203383876725,2
0.6,1,0.9,0.4,-122091.69018912103,3955.7590034014056,2
0.2,4,1.0,0.4,-122112.18010245325,33.699802391725896,2
0.4,3,1.0,0.3,-122115.44450833349,4366.548903552947,2
0.3,5,1.0,0.5,-122117.58362219026,3600.85455463872,2
0.2,3,0.6,0.2,-122126.40006997556,110.10045406118925,2
0.3,5,0.7,0.5,-122126.65773267418,132.16132946388313,2
0.5,4,0.7,0.2,-122161.43932210474,791.2083148003154,2
0.4,4,0.9,0.3,-122167.8666007497,2930.188949503854,2
0.3,5,1.0,0.3,-122174.60183945362,2211.8386150898023,2
0.3,5,0.7,0.1,-122175.69757507477,710.45317271405,2
0.5,3,1.0,0.1,-122183.32139936925,956.7637218165153,2
0.5,3,0.9,0.1,-122190.19035267312,770.8474233988672,2
0.4,3,1.0,0.4,-122207.19579739048,631.0814903677284,2
0.4,1,0.8,0.4,-122209.13016140864,1431.6540672935068,2
0.4,2,0.8,0.3,-122212.33522920276,1016.3117745495969,2
0.2,4,0.8,0.2,-122220.8573985325,1015.3090347529438,2
0.5,3,0.9,0.3,-122222.18061620247,417.7936282926166,2
0.5,2,0.6,0.3,-122244.0868212925,559.0919132050685,2
0.4,3,0.8,0.2,-122245.63161938434,398.4794937167589,2
0.2,5,0.8,0.3,-122254.47676521723,647.9565216889225,2
0.3,5,1.0,0.2,-122278.58872814625,2449.6721661009096,2
