crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.5,1,0.7,0.2,-78998.05604181922,2056.2920745821048,2
0.6,2,0.9,0.3,-79015.53283602337,3544.0045836081536,2
0.6,2,1.0,0.4,-79019.84456556647,1288.0113725846559,2
0.5,4,0.8,0.1,-79025.22347727329,975.4948277608905,2
0.6,3,0.9,0.3,-79026.70606018054,3457.49267844354,2
0.4,2,0.8,0.1,-79040.53901067501,1715.4110332250646,2
0.4,5,1.0,0.4,-79041.22632423256,2831.0131397689743,2
0.5,4,1.0,0.3,-79047.43632269549,110.11965461639183,2
0.5,2,0.8,0.2,-79047.93807227327,3801.382224956205,2
0.5,1,0.8,0.5,-79048.1415857002,3354.6574258523033,2
0.6,3,0.7,0.1,-79065.78816481051,769.9533494959562,2
0.4,2,0.6,0.5,-79067.90852597178,1778.7506061229633,2
0.3,5,0.7,0.4,-79086.45984058965,344.69857905767327,2
0.2,1,0.9,0.3,-79093.45524873126,13.692463190536333,2
0.3,4,0.9,0.3,-79108.78526271653,332.7051294697318,2
0.3,2,0.9,0.4,-79109.93854374663,366.548307186857,2
0.3,2,0.9,0.5,-79148.72958137796,946.1356033944268,2
0.4,3,1.0,0.2,-79155.7603369647,1544.9468439868142,2
0.2,1,0.8,0.4,-79169.33256059827,1217.322848200248,2
0.5,2,0.7,0.3,-79170.38432859845,3758.3962709739735,2
0.4,5,1.0,0.1,-79177.75344736251,2489.9495018637,2
0.5,4,1.0,0.1,-79213.57112749832,2011.637485625684,2
0.2,2,0.8,0.5,-79223.64421987148,1074.453355276998,2
0.5,2,0.7,0.1,-79225.25125536617,3014.163271247363,2
0.5,3,1.0,0.4,-79242.92695711768,840.2940597329505,2
0.3,5,0.7,0.2,-79273.31395707544,3686.933590935398,2
0.4,4,1.0,0.4,-79273.35941646155,1678.718175695498,2
0.3,4,0.6,0.3,-79274.79024178395,319.85494566222843,2
0.3,5,1.0,0.5,-79285.77235358083,1100.1171210493158,2
0.5,1,1.0,0.5,-79315.933324604,1347.232886571291,2
0.5,2,0.7,0.2,-79319.37114221777,2110.574460293075,2
0.3,3,0.7,0.2,-79327.21707328406,5.320517311659334,2
0.5,5,0.9,0.3,-79347.56137431829,1772.1033103659522,2
0.3,3,1.0,0.2,-79357.97990165939,68.04037065236784,2
0.2,4,0.6,0.3,-79365.70393400635,537.2297360510985,2
0.3,3,1.0,0.4,-79408.65434145826,309.21963605611325,2
0.4,3,1.0,0.4,-79421.29539449811,2153.2635096144645,2
0.3,4,1.0,0.5,-79422.51642324391,1250.3505846722446,2
0.2,1,0.6,0.5,-79424.76449472865,3298.8941124794615,2
0.3,2,1.0,0.3,-79427.11150413682,2100.8825860240704,2
0.3,1,0.9,0.1,-79437.86901698829,2821.325637429825,2
0.6,1,0.7,0.2,-79441.85302993914,1872.079124888215,2
0.3,4,0.9,0.5,-79454.98482924074,1551.1321230041194,2
0.4,5,0.9,0.5,-79465.32725588288,2622.754725947687,2
0.3,1,0.9,0.3,-79480.69920053227,1632.378211601742,2
0.6,4,1.0,0.2,-79497.72800205476,1222.375150893135,2
0.3,5,0.6,0.1,-79498.97714570205,1021.8272548590567,2
0.2,3,0.9,0.3,-79515.20680795907,347.86037770367614,2
0.5,3,0.9,0.3,-79519.47828127866,613.9140229663179,2
0.3,3,0.9,0.4,-79531.02561231451,3065.8964754663743,2
0.2,2,0.9,0.4,-79536.8824351994,1039.312017049126,2
0.5,1,0.8,0.4,-79552.2643846657,5136.4331446385495,2
0.3,1,0.6,0.2,-79563.42355880392,1183.9070237650897,2
0.5,3,0.9,0.1,-79576.08325987664,1868.0436385296034,2
0.4,1,1.0,0.4,-79584.3977728773,2603.267851388727,2
0.3,1,1.0,0.4,-79586.78480734379,1435.18595419028,2
0.4,5,0.7,0.4,-79592.58901728128,4424.046883667353,2
0.3,5,0.7,0.3,-79598.41202232396,2155.1412834052644,2
0.6,4,1.0,0.5,-79602.89274473094,1464.4939765053998,2
0.6,1,0.7,0.3,-79609.71577055045,1493.2003468920486,2
0.3,4,0.8,0.4,-79614.95334405851,231.1328053613327,2
0.4,1,0.8,0.3,-79632.75247071977,3620.821337745443,2
0.6,5,1.0,0.4,-79645.22424846354,3189.5580137655406,2
0.4,2,1.0,0.4,-79660.76465830341,3868.9379454368986,2
0.5,1,0.8,0.2,-79669.45946370407,687.96985063897,2
0.5,5,1.0,0.2,-79677.79456429597,560.5755040872784,2
0.6,2,1.0,0.2,-79678.86931450221,2591.2242675020752,2
0.5,1,0.7,0.1,-79717.63042110404,595.8565545087648,2
