i,family,syn_cutoff,target_mi,pair_probs,num_vars
308,ba,0.7,0.6339850002884625,0.4,10
309,ba,0.7,0.6339850002884625,0.5,10
310,ba,0.7,0.6339850002884625,0.6,10
311,ba,0.7,0.6339850002884625,0.7,10
312,ba,0.7,0.792481250360578,0.4,10
313,ba,0.7,0.792481250360578,0.5,10
314,ba,0.7,0.792481250360578,0.6,10
315,ba,0.7,0.792481250360578,0.7,10
316,ba,0.7,0.9509775004326936,0.4,10
317,ba,0.7,0.9509775004326936,0.5,10
318,ba,0.7,0.9509775004326936,0.6,10
319,ba,0.7,0.9509775004326936,0.7,10
320,ba,0.4,0.31699250014423125,0.4,20
321,ba,0.4,0.31699250014423125,0.5,20
322,ba,0.4,0.31699250014423125,0.6,20
323,ba,0.4,0.31699250014423125,0.7,20
324,ba,0.4,0.4754887502163468,0.4,20
325,ba,0.4,0.4754887502163468,0.5,20
326,ba,0.4,0.4754887502163468,0.6,20
327,ba,0.4,0.4754887502163468,0.7,20
328,ba,0.4,0.6339850002884625,0.4,20
329,ba,0.4,0.6339850002884625,0.5,20
330,ba,0.4,0.6339850002884625,0.6,20
331,ba,0.4,0.6339850002884625,0.7,20
332,ba,0.4,0.792481250360578,0.4,20
333,ba,0.4,0.792481250360578,0.5,20
334,ba,0.4,0.792481250360578,0.6,20
335,ba,0.4,0.792481250360578,0.7,20
336,ba,0.4,0.9509775004326936,0.4,20
337,ba,0.4,0.9509775004326936,0.5,20
338,ba,0.4,0.9509775004326936,0.6,20
339,ba,0.4,0.9509775004326936,0.7,20
340,ba,0.5,0.31699250014423125,0.4,20
341,ba,0.5,0.31699250014423125,0.5,20
342,ba,0.5,0.31699250014423125,0.6,20
343,ba,0.5,0.31699250014423125,0.7,20
344,ba,0.5,0.4754887502163468,0.4,20
345,ba,0.5,0.4754887502163468,0.5,20
346,ba,0.5,0.4754887502163468,0.6,20
347,ba,0.5,0.4754887502163468,0.7,20
348,ba,0.5,0.6339850002884625,0.4,20
349,ba,0.5,0.6339850002884625,0.5,20
350,ba,0.5,0.6339850002884625,0.6,20
351,ba,0.5,0.6339850002884625,0.7,20
352,ba,0.5,0.792481250360578,0.4,20
353,ba,0.5,0.792481250360578,0.5,20
354,ba,0.5,0.792481250360578,0.6,20
355,ba,0.5,0.792481250360578,0.7,20
356,ba,0.5,0.9509775004326936,0.4,20
357,ba,0.5,0.9509775004326936,0.5,20
358,ba,0.5,0.9509775004326936,0.6,20
359,ba,0.5,0.9509775004326936,0.7,20
360,ba,0.6,0.31699250014423125,0.4,20
361,ba,0.6,0.31699250014423125,0.5,20
362,ba,0.6,0.31699250014423125,0.6,20
363,ba,0.6,0.31699250014423125,0.7,20
364,ba,0.6,0.4754887502163468,0.4,20
365,ba,0.6,0.4754887502163468,0.5,20
366,ba,0.6,0.4754887502163468,0.6,20
367,ba,0.6,0.4754887502163468,0.7,20
368,ba,0.6,0.6339850002884625,0.4,20
369,ba,0.6,0.6339850002884625,0.5,20
370,ba,0.6,0.6339850002884625,0.6,20
371,ba,0.6,0.6339850002884625,0.7,20
372,ba,0.6,0.792481250360578,0.4,20
373,ba,0.6,0.792481250360578,0.5,20
374,ba,0.6,0.792481250360578,0.6,20
375,ba,0.6,0.792481250360578,0.7,20
376,ba,0.6,0.9509775004326936,0.4,20
377,ba,0.6,0.9509775004326936,0.5,20
378,ba,0.6,0.9509775004326936,0.6,20
379,ba,0.6,0.9509775004326936,0.7,20
380,ba,0.7,0.31699250014423125,0.4,20
381,ba,0.7,0.31699250014423125,0.5,20
382,ba,0.7,0.31699250014423125,0.6,20
383,ba,0.7,0.31699250014423125,0.7,20
384,ba,0.7,0.4754887502163468,0.4,20
