i,total_vars,dag_family,p_syn,p_noise,samples
417,20,er,0.5,0.5,2000
418,20,er,0.5,0.5,5000
419,20,er,0.5,0.5,10000
420,20,er,1.0,0.0,500
421,20,er,1.0,0.0,1000
422,20,er,1.0,0.0,2000
423,20,er,1.0,0.0,5000
424,20,er,1.0,0.0,10000
425,20,er,1.0,0.1,500
426,20,er,1.0,0.1,1000
427,20,er,1.0,0.1,2000
428,20,er,1.0,0.1,5000
429,20,er,1.0,0.1,10000
430,20,er,1.0,0.2,500
431,20,er,1.0,0.2,1000
432,20,er,1.0,0.2,2000
433,20,er,1.0,0.2,5000
434,20,er,1.0,0.2,10000
435,20,er,1.0,0.3,500
436,20,er,1.0,0.3,1000
437,20,er,1.0,0.3,2000
438,20,er,1.0,0.3,5000
439,20,er,1.0,0.3,10000
440,20,er,1.0,0.4,500
441,20,er,1.0,0.4,1000
442,20,er,1.0,0.4,2000
443,20,er,1.0,0.4,5000
444,20,er,1.0,0.4,10000
445,20,er,1.0,0.5,500
446,20,er,1.0,0.5,1000
447,20,er,1.0,0.5,2000
448,20,er,1.0,0.5,5000
449,20,er,1.0,0.5,10000
450,20,small-world,0.0,0.0,500
451,20,small-world,0.0,0.0,1000
452,20,small-world,0.0,0.0,2000
453,20,small-world,0.0,0.0,5000
454,20,small-world,0.0,0.0,10000
455,20,small-world,0.0,0.1,500
456,20,small-world,0.0,0.1,1000
457,20,small-world,0.0,0.1,2000
458,20,small-world,0.0,0.1,5000
459,20,small-world,0.0,0.1,10000
460,20,small-world,0.0,0.2,500
461,20,small-world,0.0,0.2,1000
462,20,small-world,0.0,0.2,2000
463,20,small-world,0.0,0.2,5000
464,20,small-world,0.0,0.2,10000
465,20,small-world,0.0,0.3,500
466,20,small-world,0.0,0.3,1000
467,20,small-world,0.0,0.3,2000
468,20,small-world,0.0,0.3,5000
469,20,small-world,0.0,0.3,10000
470,20,small-world,0.0,0.4,500
471,20,small-world,0.0,0.4,1000
472,20,small-world,0.0,0.4,2000
473,20,small-world,0.0,0.4,5000
474,20,small-world,0.0,0.4,10000
475,20,small-world,0.0,0.5,500
476,20,small-world,0.0,0.5,1000
477,20,small-world,0.0,0.5,2000
478,20,small-world,0.0,0.5,5000
479,20,small-world,0.0,0.5,10000
480,20,small-world,0.5,0.0,500
481,20,small-world,0.5,0.0,1000
482,20,small-world,0.5,0.0,2000
483,20,small-world,0.5,0.0,5000
484,20,small-world,0.5,0.0,10000
485,20,small-world,0.5,0.1,500
486,20,small-world,0.5,0.1,1000
487,20,small-world,0.5,0.1,2000
488,20,small-world,0.5,0.1,5000
489,20,small-world,0.5,0.1,10000
490,20,small-world,0.5,0.2,500
491,20,small-world,0.5,0.2,1000
492,20,small-world,0.5,0.2,2000
493,20,small-world,0.5,0.2,5000
494,20,small-world,0.5,0.2,10000
495,20,small-world,0.5,0.3,500
496,20,small-world,0.5,0.3,1000
497,20,small-world,0.5,0.3,2000
498,20,small-world,0.5,0.3,5000
499,20,small-world,0.5,0.3,10000
500,20,small-world,0.5,0.4,500
501,20,small-world,0.5,0.4,1000
502,20,small-world,0.5,0.4,2000
503,20,small-world,0.5,0.4,5000
504,20,small-world,0.5,0.4,10000
505,20,small-world,0.5,0.5,500
506,20,small-world,0.5,0.5,1000
507,20,small-world,0.5,0.5,2000
508,20,small-world,0.5,0.5,5000
509,20,small-world,0.5,0.5,10000
510,20,small-world,1.0,0.0,500
511,20,small-world,1.0,0.0,1000
512,20,small-world,1.0,0.0,2000
513,20,small-world,1.0,0.0,5000
514,20,small-world,1.0,0.0,10000
515,20,small-world,1.0,0.1,500
516,20,small-world,1.0,0.1,1000
517,20,small-world,1.0,0.1,2000
518,20,small-world,1.0,0.1,5000
519,20,small-world,1.0,0.1,10000
520,20,small-world,1.0,0.2,500
521,20,small-world,1.0,0.2,1000
522,20,small-world,1.0,0.2,2000
523,20,small-world,1.0,0.2,5000
524,20,small-world,1.0,0.2,10000
525,20,small-world,1.0,0.3,500
526,20,small-world,1.0,0.3,1000
527,20,small-world,1.0,0.3,2000
528,20,small-world,1.0,0.3,5000
529,20,small-world,1.0,0.3,10000
530,20,small-world,1.0,0.4,500
531,20,small-world,1.0,0.4,1000
532,20,small-world,1.0,0.4,2000
533,20,small-world,1.0,0.4,5000
534,20,small-world,1.0,0.4,10000
535,20,small-world,1.0,0.5,500
536,20,small-world,1.0,0.5,1000
537,20,small-world,1.0,0.5,2000
538,20,small-world,1.0,0.5,5000
539,20,small-world,1.0,0.5,10000
540,30,ba,0.0,0.0,500
541,30,ba,0.0,0.0,1000
542,30,ba,0.0,0.0,2000
543,30,ba,0.0,0.0,5000
544,30,ba,0.0,0.0,10000
545,30,ba,0.0,0.1,500
546,30,ba,0.0,0.1,1000
